,model,train_or_test,split_label,mcc,accuracy
180,KNeighborsDist_BAG_L1,trainval,3,0.34257977332293277,0.5808574277168495
181,KNeighborsUnif_BAG_L1,trainval,3,0.32481107275759713,0.564506480558325
182,WeightedEnsemble_L3,test,3,0.5947699690864314,0.7414721723518851
183,NeuralNetTorch_BAG_L2,test,3,0.5966038124729629,0.7420706163973668
184,LightGBMXT_BAG_L2,test,3,0.603180803355275,0.7468581687612208
185,LightGBMLarge_BAG_L2,test,3,0.5957700750369417,0.7420706163973668
186,XGBoost_BAG_L2,test,3,0.5941781832619647,0.7408737283064033
187,NeuralNetFastAI_BAG_L2,test,3,0.597770765206757,0.7414721723518851
188,ExtraTreesEntr_BAG_L2,test,3,0.5933224930535993,0.7408737283064033
189,RandomForestGini_BAG_L2,test,3,0.5967515775075269,0.7426690604428486
190,LightGBM_BAG_L2,test,3,0.6041061406158565,0.7480550568521843
191,RandomForestEntr_BAG_L2,test,3,0.6056316752410889,0.7480550568521843
192,ExtraTreesGini_BAG_L2,test,3,0.5994381819548085,0.7444643925792939
193,CatBoost_BAG_L2,test,3,0.6041060816334927,0.7468581687612208
194,WeightedEnsemble_L2,test,3,0.5713632168025362,0.7283064033512866
195,LightGBMXT_BAG_L1,test,3,0.5713632168025362,0.7283064033512866
196,XGBoost_BAG_L1,test,3,0.572554666088903,0.7289048473967684
197,LightGBMLarge_BAG_L1,test,3,0.571857648007537,0.7289048473967684
198,LightGBM_BAG_L1,test,3,0.5794015659265236,0.7330939557151407
199,RandomForestEntr_BAG_L1,test,3,0.5490719977334774,0.7151406343506882
200,RandomForestGini_BAG_L1,test,3,0.5418460962639687,0.7103530819868342
201,CatBoost_BAG_L1,test,3,0.5721765252289363,0.7289048473967684
202,ExtraTreesEntr_BAG_L1,test,3,0.5535502141740088,0.7175344105326152
203,ExtraTreesGini_BAG_L1,test,3,0.5262341825910165,0.7007779772591263
204,NeuralNetTorch_BAG_L1,test,3,0.5131635071297238,0.6894075403949731
205,NeuralNetFastAI_BAG_L1,test,3,0.4868370180144638,0.6762417713943746
206,KNeighborsDist_BAG_L1,test,3,0.3361213018783201,0.5786953919808497
207,KNeighborsUnif_BAG_L1,test,3,0.3231509510972978,0.5625374027528426
